Feature,Importance
Degree of poisoning,0.37770639337304734
Type of Poisoning,0.3683345273606802
Altered Consciousness or Syncope,0.34055672238198403
Alanine Aminotransferase (ALT),0.2735164931168105
White Blood Cell Count,0.24363043074230126
Total Bilirubin,0.19010569983611172
Lactate Dehydrogenase (LDH),0.14904020370087315
Urea,0.13983842843829117
Creatine Kinase-MB Isoenzyme,0.13788614930641452
Length of Stay,0.10961557245967754
Red Blood Cell Count,0.09961971940699296
Uric Acid,0.0970399317930019
Age,0.07194289698616121
Albumin (First Measurement),0.06336294609298322
Education Level,0.06065794967760694
Homocysteine,0.0555233734874017
Creatine Kinase (CK),0.042546029835323206
Direct Bilirubin,0.03276807900972366
Mean Corpuscular Hemoglobin Concentration,0.01980964102299703
Hemoglobin Concentration,0.01758523685145357
