Feature,Importance
Degree of poisoning,0.6516045588812704
WBC,0.31330218937067295
Type of Poisoning,0.29021026465147703
LDH,0.1753270695116263
Urea,0.13856048185954473
CK-MB,0.12428804202052277
Length of Stay,0.10925580996306176
Total Bilirubin,0.10507140080038949
Age,0.07868353860456245
Uric Acid,0.06735344407716075
Diastolic Blood Pressure,0.06505683196961667
Vomiting,0.06146982620838513
ALT,0.06032302028491597
Nausea,0.04325220659975018
ChE,0.03909208451538532
Weight,0.038525110539032334
Creatine Kinase,0.03750114937486755
hs-CRP,0.03442763170559073
Alb-last,0.03196395515919332
MCV,0.030830384627884656
MCH,0.030133149369727438
Alb-first,0.02557614101605436
Prothrombin Time,0.0217737268903982
Platelet Count,0.019098189649736468
Carbon Dioxide,0.015432061303301567
D-Dimer,0.015295432213679192
Sodium,0.015010940696234388
Serum Creatinine,0.010269679782852831
Chloride,0.010155278428474428
Troponin I,0.009398296833897741
Potassium,0.009168378378519875
Lactate,0.002772590515701835
