iter	Logloss
0	0.688255817
1	0.6829593157
2	0.6781942585
3	0.6736278485
4	0.6679425839
5	0.6620741681
6	0.6558149877
7	0.6516559867
8	0.6449570179
9	0.640231318
10	0.6352206004
11	0.6300319264
12	0.6245443511
13	0.6204247193
14	0.6153582795
15	0.6114559978
16	0.6047656304
17	0.6015007528
18	0.596613432
19	0.5931687911
20	0.5888258267
21	0.5844920473
22	0.5796155973
23	0.5758842248
24	0.5712233986
25	0.5672616205
26	0.5636229799
27	0.5594262797
28	0.555843843
29	0.5523088162
30	0.5474599986
31	0.5438307796
32	0.5402581843
33	0.5365544552
34	0.5336840458
35	0.5312176103
36	0.5275733286
37	0.5243148503
38	0.5216876626
39	0.5186389273
40	0.5144927107
41	0.5112797033
42	0.5076663391
43	0.5046760488
44	0.5025655141
45	0.4994794429
46	0.4961304508
47	0.4933086708
48	0.4908354137
49	0.4874553634
50	0.4848075084
51	0.4817943379
52	0.479946012
53	0.4776774844
54	0.4752186588
55	0.4728332377
56	0.4712347714
57	0.4688569338
58	0.4669901289
59	0.4650126042
60	0.4631376928
61	0.4612311239
62	0.4589395297
63	0.456888837
64	0.4552408254
65	0.453290463
66	0.4511559651
67	0.4498819207
68	0.4485014246
69	0.4468808891
70	0.4454016775
71	0.4441595076
72	0.4427719917
73	0.4413244871
74	0.4398580311
75	0.4384374673
76	0.4368309176
77	0.4354273792
78	0.4333251402
79	0.431654618
80	0.4299682314
81	0.4286630274
82	0.4266314292
83	0.4249604599
84	0.4235527707
85	0.4223452435
86	0.4208557973
87	0.4192807702
88	0.4179592954
89	0.4164317431
90	0.4147864152
91	0.4132550163
92	0.4123992931
93	0.4112165388
94	0.4100765966
95	0.408458959
96	0.4075572524
97	0.4062007911
98	0.4050048419
99	0.4038220061
100	0.4028777657
101	0.401580944
102	0.4007202768
103	0.3989112315
104	0.3976881192
105	0.3968544958
106	0.3958777705
107	0.3948558107
108	0.3934950918
109	0.3920027904
110	0.3912218509
111	0.3900191368
112	0.3891277404
113	0.3881925326
114	0.387082225
115	0.3862808306
116	0.3851516404
117	0.383987713
118	0.3833702365
119	0.3819074838
120	0.3809447103
121	0.3802483668
122	0.3790860838
123	0.3779288385
124	0.3771607004
125	0.3761193
126	0.375057749
127	0.3736872034
128	0.3724477395
129	0.371875877
130	0.3711688328
131	0.3701949119
132	0.3689040453
133	0.3681037881
134	0.3673101084
135	0.3664868833
136	0.3656253632
137	0.364743805
138	0.3639144481
139	0.3633311626
140	0.362451089
141	0.3618747491
142	0.3604458043
143	0.3596919975
144	0.3588498255
145	0.3578615331
146	0.3571485305
147	0.3563293833
148	0.3557697136
149	0.3547092434
150	0.3538213266
151	0.3533538878
152	0.3524652517
153	0.3513851804
154	0.350566327
155	0.3497790372
156	0.3489862774
157	0.3482246794
158	0.3474809559
159	0.3470294677
160	0.346291156
161	0.3456612783
162	0.3450572236
163	0.3446239246
164	0.3438656105
165	0.3429759624
166	0.3424142613
167	0.3417726745
168	0.3410831175
169	0.3404845281
170	0.3398467697
171	0.3393699915
172	0.3388051125
173	0.3379962803
174	0.3374978841
175	0.3368115267
176	0.3360309416
177	0.3354912457
178	0.3350000445
179	0.334619439
180	0.3338623383
181	0.3333985653
182	0.3327918847
183	0.3323609754
184	0.3315413024
185	0.3310077605
186	0.3304051139
187	0.3299208064
188	0.3293177905
189	0.3285999733
190	0.3279577888
191	0.3272877303
192	0.3268457454
193	0.3260990989
194	0.32551679
195	0.3250099275
196	0.3245676561
197	0.3240820953
198	0.3233648875
199	0.3228619509
200	0.3221249085
201	0.3213056678
202	0.3207759318
203	0.3201365384
204	0.3197637697
205	0.3194672583
206	0.3188830959
207	0.3184630045
208	0.3179096604
209	0.3172931047
210	0.3167576469
211	0.3162837249
212	0.3156935384
213	0.3153745227
214	0.3150248316
215	0.3145315116
216	0.3142260129
217	0.3138813717
218	0.3133374393
219	0.3127834644
220	0.3123087122
221	0.3118803946
222	0.3113799936
223	0.3109481151
224	0.3102372795
225	0.3099241593
226	0.3093003303
227	0.308881233
228	0.307899211
229	0.3073561455
230	0.3066395014
231	0.3062698958
232	0.3056815799
233	0.3052749555
234	0.3048861312
235	0.3045205367
236	0.3037092177
237	0.3032006523
238	0.3025147333
239	0.30214168
240	0.3015057539
241	0.3008917729
242	0.3001979801
243	0.2995176071
244	0.2991185003
245	0.2985982578
246	0.298176328
247	0.29776695
248	0.2973155197
249	0.2969542051
250	0.2965064056
251	0.2961987403
252	0.2957956161
253	0.2955479791
254	0.295019732
255	0.2945936476
256	0.2937670149
257	0.2934061897
258	0.2929891455
259	0.292638075
260	0.2921007433
261	0.2917530298
262	0.291462776
263	0.2907928471
264	0.2904984784
265	0.290064126
266	0.2898491346
267	0.2893415213
268	0.2887187636
269	0.2882307086
270	0.2878333753
271	0.2874220348
272	0.2871590174
273	0.2866872731
274	0.286272247
275	0.2857424404
276	0.2853608405
277	0.2850484214
278	0.284642773
279	0.2840852502
280	0.283982215
281	0.2834426653
282	0.283048295
283	0.2825314414
284	0.2821411383
285	0.281733468
286	0.2811059102
287	0.2807888044
288	0.2804751431
289	0.2801247046
290	0.2799520617
291	0.2792331621
292	0.2787948475
293	0.2784092214
294	0.2781501973
295	0.2777811063
296	0.2774259163
297	0.277211693
298	0.2768930593
299	0.2765670733
300	0.2762233763
301	0.2759472262
302	0.2755671425
303	0.2752128819
304	0.2748547937
305	0.2746216741
306	0.2742209753
307	0.2738640302
308	0.2735159808
309	0.2731579602
310	0.2729000225
311	0.2724725615
312	0.2720713699
313	0.2717768305
314	0.2713161316
315	0.2709891087
316	0.2707586274
317	0.2704457296
318	0.2697418659
319	0.2692922229
320	0.2690468841
321	0.2687125041
322	0.2684275201
323	0.2677100983
324	0.2672372638
325	0.2668932783
326	0.2664854629
327	0.266195727
328	0.2658455019
329	0.2655538199
330	0.2651509638
331	0.2648111616
332	0.264482652
333	0.2642606277
334	0.2639053298
335	0.2634760425
336	0.2631102048
337	0.2626527707
338	0.2623471256
339	0.2619708084
340	0.2616873005
341	0.2614739659
342	0.2610630617
343	0.2606487871
344	0.2602860899
345	0.2599773743
346	0.2593410891
347	0.2590890403
348	0.2586854559
349	0.2583186359
350	0.2579888861
351	0.2578292142
352	0.2575521423
353	0.2572568529
354	0.2569527755
355	0.2565672537
356	0.2560894432
357	0.2558377656
358	0.2555486277
359	0.2551304579
360	0.2548402044
361	0.2545063203
362	0.253970096
363	0.2536304495
364	0.2534173871
365	0.2532686429
366	0.2528610542
367	0.2526197795
368	0.2523396348
369	0.2520851004
370	0.2518982302
